
      1: Executing main
public /* Using Class-Supplied Parser */ 
 class good1p {
      2: 
      3:    public static void outInt(int n) {
      4:      java.io.PrintStream ps;
      5:      ps = java.lang.System::out : java.io.PrintStream;
      6:      (ps)->print : void (n);
      7:    }
      8: 
      9:    public static void main431() {
     10:      int w,x;
     11:      x = 3+4;  TestClasses.good1p::outInt : void (x);
     12:      x = 5*7;  TestClasses.good1p::outInt : void (x);
     13:    }
     14: }
     15: 
Raw AST (with node numbers)
59: TemporaryNode[NodeDumpable]  "Program"
  58: ClassNode[ASTNodeIsh, NodeDumpable, SymDeclaring, ClassDeclaring]  "Class public instance good1p"
    57: ClassBody[ASTNodeIsh, ClassIsh, NodeDumpable]  "Class Body"
      52: TemporaryNode[NodeDumpable]  "Fields"
      53: TemporaryNode[NodeDumpable]  "Constructors"
      54: TemporaryNode[NodeDumpable]  "Methods"
        20: ModTypeNode[NodeDumpable]  "V"
          3: MethodNode[ASTNodeIsh, NodeDumpable, SymDeclaring, MethodDeclaring]  "public static V outInt"
            2: ParamsNode[ASTNodeIsh, NodeDumpable, ParamIsh]  "PARAMS"
              1: ParamNode[ASTNodeIsh, NodeDumpable, SymDeclaring, LocalDeclaring]  "Param I n"
            19: BlockNode[ASTNodeIsh, NodeDumpable, BlockIsh]  "BLOCK"
              5: TypeNode[NodeDumpable]  "Ljava/io/PrintStream;"
                4: LocalNode[ASTNodeIsh, NodeDumpable, SymDeclaring, LocalDeclaring]  "Local Ljava/io/PrintStream; ps"
              11: AssignNode[AssignIsh, NodeDumpable, AssignTypeRequiring]  "Assign"
                6: RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref ps"
                7: StaticReference[FieldReferencing, ASTNodeIsh, InvokeReference, Referencing, NodeDumpable, StaticReferencing]  ""
                  8: TypeNode[NodeDumpable]  "Ljava/lang/System;"
                  9: TemporaryNode[NodeDumpable]  "out"
                  10: TypeAssertingNode[TypeAsserting, NodeDumpable]  "Ljava/io/PrintStream;"
              18: InvokeNode[ASTNodeIsh, InvokeIsh, NodeDumpable]  ""
                13: FieldReference[FieldReferencing, ASTNodeIsh, InvokeReference, Referencing, NodeDumpable]  ""
                  12: RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref ps"
                  14: TemporaryNode[NodeDumpable]  "print"
                  15: TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
                17: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
                  16: RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref n"
        51: ModTypeNode[NodeDumpable]  "V"
          22: MethodNode[ASTNodeIsh, NodeDumpable, SymDeclaring, MethodDeclaring]  "public static V main431"
            21: ParamsNode[ASTNodeIsh, NodeDumpable, ParamIsh]  "PARAMS"
            50: BlockNode[ASTNodeIsh, NodeDumpable, BlockIsh]  "BLOCK"
              25: TypeNode[NodeDumpable]  "I"
                23: LocalNode[ASTNodeIsh, NodeDumpable, SymDeclaring, LocalDeclaring]  "Local I w"
                24: LocalNode[ASTNodeIsh, NodeDumpable, SymDeclaring, LocalDeclaring]  "Local I x"
              30: AssignNode[AssignIsh, NodeDumpable, AssignTypeRequiring]  "Assign"
                26: RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref x"
                29: AddNode[ComputeIsh, NodeDumpable, BinaryComputeIsh]  ""
                  27: IntNode[ConstantProducing, ASTNodeIsh, ConstantInt, IntTypeProducing, NodeDumpable]  "Int 3"
                  28: IntNode[ConstantProducing, ASTNodeIsh, ConstantInt, IntTypeProducing, NodeDumpable]  "Int 4"
              37: InvokeNode[ASTNodeIsh, InvokeIsh, NodeDumpable]  ""
                31: StaticReference[FieldReferencing, ASTNodeIsh, InvokeReference, Referencing, NodeDumpable, StaticReferencing]  ""
                  32: TypeNode[NodeDumpable]  "LTestClasses/good1p;"
                  33: TemporaryNode[NodeDumpable]  "outInt"
                  34: TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
                36: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
                  35: RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref x"
              42: AssignNode[AssignIsh, NodeDumpable, AssignTypeRequiring]  "Assign"
                38: RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref x"
                41: MpyNode[ComputeIsh, NodeDumpable, BinaryComputeIsh]  ""
                  39: IntNode[ConstantProducing, ASTNodeIsh, ConstantInt, IntTypeProducing, NodeDumpable]  "Int 5"
                  40: IntNode[ConstantProducing, ASTNodeIsh, ConstantInt, IntTypeProducing, NodeDumpable]  "Int 7"
              49: InvokeNode[ASTNodeIsh, InvokeIsh, NodeDumpable]  ""
                43: StaticReference[FieldReferencing, ASTNodeIsh, InvokeReference, Referencing, NodeDumpable, StaticReferencing]  ""
                  44: TypeNode[NodeDumpable]  "LTestClasses/good1p;"
                  45: TemporaryNode[NodeDumpable]  "outInt"
                  46: TypeAssertingNode[TypeAsserting, NodeDumpable]  "V"
                48: ArgsNode[ASTNodeIsh, ArgIsh, NodeDumpable]  "ARGS"
                  47: RefNode[LocalReferencing, Referencing, NodeDumpable]  "Local Ref x"
      55: TemporaryNode[NodeDumpable]  "Statics"
      56: TemporaryNode[NodeDumpable]  "Inner Classes"
Building Symbol table
Type Setting pass

Raw AST (with node numbers)
59: TemporaryNode[NodeDumpable]  "Program"
  58: ClassNode[ASTNodeIsh, NodeDumpable, SymDeclaring, ClassDeclaring]  "Class public instance good1p"
    57: ClassBody[ASTNodeIsh, ClassIsh, NodeDumpable]  "Class Body"
      52: TemporaryNode[NodeDumpable]  "Fields"
      53: TemporaryNode[NodeDumpable]  "Constructors"
      54: TemporaryNode[NodeDumpable]  "Methods"
        20: ModTypeNode[NodeDumpable]  "V"
          3: MethodNode[ASTNodeIsh, NodeDumpable, SymDeclaring, MethodDeclaring]  "public static V outInt"
            2: ParamsNode[ASTNodeIsh, NodeDumpable, ParamIsh]  "PARAMS"
              1: ParamNode[ASTNodeIsh, NodeDumpable, SymDeclaring, LocalDeclaring]  "Param I n"
            19: BlockNode[ASTNodeIsh, NodeDumpable, BlockIsh]  "BLOCK"
